listing_id,title,condition,price,shipping,seller_name,seller_feedback_pct,seller_feedback_count,product_stars,product_ratings_count,location,page
2500219655424533,Shop on eBay,Brand New,$20.00,,,,,,,,1
2500219655424533,Shop on eBay,Brand New,$20.00,,,,,,,,1
236902225726,(Good) - Apple iPhone 11 256GB Smartphone - RED - Unlocked,Pre-Owned,C $379.99,Free shipping,dhaliwalcellcare,100,34,5.0,11,,1
117066372351,Apple iPhone 11 (64GB/128GB) - Fully Unlocked - Very Good Condition,Pre-Owned,C $239.99,Free shipping,2ndphones,99.5,20100,4.5,50,,1
135290252988,Apple iPhone 16 PLUS Physical SIM Card Tray - USA 2 DAY SHIP 128GB 256GB 512GB,Brand New,"C $1,694.99",Duty/Customs Free - Fast International Shipping,hcir_supplies,97.5,812,5.0,1,United States,1
407053606908,Apple iPhone 11 - 64 GB - Black & Slate (Unlocked) (CA),Pre-Owned,C $160.00,+C $40.00 shipping,dn0-18,0,0,4.5,50,,1
267717702308,iphone 11 unlocked 64gb used buy now *please read*,Pre-Owned,C $139.00,+C $25.00 shipping,veronsketchart,100,559,4.5,50,,1
318550266584,Broken Unlocked Apple iPhone 11 128GB 26.5.2 MWLJ2VC/A Bad Bat,Parts Only,C $149.99,Free 4-day shipping,paymore_kanata,99.3,433,4.5,39,,1
188548301859,Apple iPhone 11 64GB Black- Good Condition- 86% Battery- Unlocked (CA),Pre-Owned,C $189.95,Free shipping,tikitakamj,100,405,4.5,50,,1
137483491313,Apple iPhone 11 PRO 64GB Unlocked  – NEW BATTERY,Pre-Owned,C $208.39,Free shipping,corecelltech,100,1600,4.5,50,,1
188475162306,Apple iPhone 11 (64GB) - Black  - Unlocked - Good Condition (CA),Pre-Owned,C $194.99,Free shipping,mallmart-canada,95.5,15500,4.5,50,,1
800193682933,Apple iPhone 11 Pro Max (A2161) - 256GB Factory Unlocked Space Gray - NEW SEALED,Brand New,C $749.99,Free shipping,growthelectronics,100,1200,,,,1
206317134509,Apple iPhone 11 64GB Product Red (Unlocked) A2111 (CDMA + GSM) READ,Pre-Owned,C $139.15,+C $14.19 shipping,dealzeez,99,24200,4.5,22,United States,1
377320240448,iphone 11 64gb unlocked used with Otterbox,Pre-Owned,C $185.00,+C $29.62 shipping,natnel-2738,100,48,5.0,8,,1
227290057962,Apple iPhone 11 (64GB) - Fully Unlocked - Very Good Condition,Pre-Owned,C $220.00,+C $13.58 shipping,pokeaseller06,100,61,5.0,4,,1
377308650137,iphone 11 64gb unlocked used,Pre-Owned,C $180.00,+C $29.62 shipping,natnel-2738,100,48,5.0,8,,1
158058089741,iPhone 11,Pre-Owned,C $160.00,+C $30.00 shipping,val-114023,0,0,,,,1
406968741178,"iPhone 11, 90% Battery Life, 64GB Storage",Pre-Owned,C $235.00,+C $15.35 shipping,wdjnos_93,0,0,4.5,50,,1
