target,model,sampling,rmse,mae,r2,fit_seconds,train_rows
price,ridge,none,155.79769107694204,89.23915414089599,0.8849986961034216,0.06,20821
price,hist_gb,none,128.71278648023414,70.12846995304568,0.9215082313844837,1.94,20821
price,random_forest,none,127.02203204098284,64.42701760551351,0.9235568028926759,2.33,20821
price,xgboost,none,120.35747110964559,64.81932535928439,0.931367971026388,1.44,20821
price,lightgbm,none,117.76944484376378,63.09009129585463,0.934287803250087,0.77,20821
price,catboost,none,126.18971525601737,68.08079638355903,0.9245553147655441,15.24,20821
price,torch_mlp,none,132.50132734112924,70.07748105140361,0.9168195648652518,12.52,20821
price,ridge,random_over,149.00897554871892,85.56648989237775,0.8948024590658296,0.08,31952
price,hist_gb,random_over,127.66911217680361,71.56989169687314,0.9227759798113933,0.58,31952
price,random_forest,random_over,131.42542424671575,65.57205987416985,0.9181649211110201,3.72,31952
price,xgboost,random_over,122.36186982160365,65.49577240195406,0.929062980051018,1.6,31952
price,lightgbm,random_over,119.76892158115892,63.28647935599935,0.932037552830203,0.92,31952
price,catboost,random_over,123.56719354590746,69.10961244434387,0.9276585688299123,16.86,31952
price,torch_mlp,random_over,155.8909843492562,75.90341942396248,0.8848609269213572,32.74,31952
price,ridge,smotenc,149.70364789768587,85.67371859358724,0.8938193214371897,0.07,31952
price,hist_gb,smotenc,129.1124497129191,71.63235284792547,0.9210200284884711,0.6,31952
price,random_forest,smotenc,129.38366656197917,66.03254726826734,0.9206878653626285,4.06,31952
price,xgboost,smotenc,122.79213782873687,66.06858320587193,0.9285632231700521,1.62,31952
price,lightgbm,smotenc,119.00018153617269,63.777884336026624,0.932907190538867,0.97,31952
price,catboost,smotenc,128.4812241409486,70.18081384139818,0.9217904005210319,15.91,31952
price,torch_mlp,smotenc,135.76571769973222,73.52455364504274,0.912670500786228,13.07,31952
price,ridge,gaussian_jitter,149.04650162732847,85.56622752044649,0.8947494669791475,0.11,31952
price,hist_gb,gaussian_jitter,132.79914631641645,73.75508461777062,0.9164452206550056,0.64,31952
price,random_forest,gaussian_jitter,126.63253539624728,64.44180547828374,0.924024890494198,5.08,31952
price,xgboost,gaussian_jitter,125.1691627872309,67.57891757063805,0.9257706897606672,1.56,31952
price,lightgbm,gaussian_jitter,120.51771793433409,64.41509677487221,0.931185092703055,1.16,31952
price,catboost,gaussian_jitter,133.26187284578288,73.51038326640482,0.9158619281714877,15.95,31952
price,torch_mlp,gaussian_jitter,137.99573292212273,72.71067188151562,0.9097780841468415,19.42,31952
shipping,ridge,none,94.87254492204332,68.6453505403308,0.2056270482612056,0.08,20631
shipping,hist_gb,none,77.30623049298812,52.1117749407064,0.4725608758239378,0.55,20631
shipping,random_forest,none,75.08234630899312,45.71589086335282,0.502470291346241,2.73,20631
shipping,xgboost,none,74.43948746950342,49.199431699944896,0.5109535670505756,1.55,20631
shipping,lightgbm,none,74.12104244882809,47.773980583610516,0.5151288051744194,0.89,20631
shipping,catboost,none,77.73885687226328,52.643506405687646,0.4666409760501983,13.17,20631
shipping,torch_mlp,none,79.860278352957,55.35752883734547,0.43713403838806164,4.79,20631
shipping,ridge,random_over,83.70467094170796,65.19014082386272,0.381638084360986,0.09,35349
shipping,hist_gb,random_over,71.79452261470952,49.65144601936256,0.5450894894244487,0.54,35349
shipping,random_forest,random_over,76.4518051306831,45.53770569923367,0.4841554632653221,4.85,35349
shipping,xgboost,random_over,70.27046354145129,47.56331306789513,0.5641982360179458,1.63,35349
shipping,lightgbm,random_over,71.2706385716465,46.33491680417507,0.5517042237528258,0.93,35349
shipping,catboost,random_over,70.67668689482979,49.0570396937888,0.5591450587469902,16.58,35349
shipping,torch_mlp,random_over,79.45216168368579,53.86532501198922,0.4428722607025771,27.73,35349
shipping,ridge,smotenc,83.55185885311597,65.52526167153256,0.383893798908971,0.11,35349
shipping,hist_gb,smotenc,72.39024625071744,50.93338578718456,0.5375088199005428,0.69,35349
shipping,random_forest,smotenc,75.66365318159713,46.182312867299366,0.49473646172563324,5.38,35349
shipping,xgboost,smotenc,71.18056374222205,49.27938200018839,0.5528366577904732,1.7,35349
shipping,lightgbm,smotenc,71.11760952387388,47.65877881067932,0.5536272772655276,1.09,35349
shipping,catboost,smotenc,72.2674903890264,51.1103644610237,0.5390760301091435,16.58,35349
shipping,torch_mlp,smotenc,76.71732001941386,54.04713764000707,0.4805662153403093,12.89,35349
shipping,ridge,gaussian_jitter,83.67944024794465,65.1723473266759,0.3820108078561124,0.09,35349
shipping,hist_gb,gaussian_jitter,77.37585794173411,53.378966017790994,0.4716103501399731,0.64,35349
shipping,random_forest,gaussian_jitter,75.89401545361329,46.29993834905094,0.4916551714289632,6.44,35349
shipping,xgboost,gaussian_jitter,76.05480360469726,51.57626117398848,0.48949894324998344,1.56,35349
shipping,lightgbm,gaussian_jitter,73.93067467372207,48.77098899797384,0.5176162315206854,1.13,35349
shipping,catboost,gaussian_jitter,77.5941960128434,53.37830148722338,0.4686241383862424,16.03,35349
shipping,torch_mlp,gaussian_jitter,77.23059807456166,53.88014432573062,0.4735924093081392,35.75,35349
